ID,Team,Points/G,Year
1,Air Force Falcons,27.8,2022
2,Akron Zips,21.5,2022
3,Alabama Crimson Tide,40.9,2022
4,Appalachian State Mountaineers,33.7,2022
5,Arizona State Sun Devils,27.2,2022
6,Arizona Wildcats,31.1,2022
7,Arkansas Razorbacks,30.7,2022
8,Arkansas State Red Wolves,25.2,2022
9,Army Black Knights,28.7,2022
10,Auburn Tigers,25.1,2022
11,BYU Cougars,31.2,2022
12,Ball State Cardinals,22.9,2022
13,Baylor Bears,33.0,2022
14,Boise State Broncos,29.3,2022
15,Boston College Eagles,18.8,2022
16,Bowling Green Falcons,23.7,2022
17,Buffalo Bulls,29.1,2022
18,California Golden Bears,23.8,2022
19,Central Michigan Chippewas,24.9,2022
20,Charlotte 49ers,24.7,2022
21,Cincinnati Bearcats,29.2,2022
22,Clemson Tigers,33.6,2022
23,Coastal Carolina Chanticleers,29.1,2022
24,Colorado Buffaloes,16.3,2022
25,Colorado State Rams,15.8,2022
26,Connecticut Huskies,20.3,2022
27,Duke Blue Devils,32.5,2022
28,East Carolina Pirates,31.1,2022
29,Eastern Michigan Eagles,28.8,2022
30,Florida Atlantic Owls,29.5,2022
31,Florida Gators,29.3,2022
32,Florida International Golden Panthers,19.7,2022
33,Florida State Seminoles,35.7,2022
34,Fresno State Bulldogs,30.2,2022
35,Georgia Bulldogs,36.9,2022
36,Georgia Southern Eagles,33.0,2022
37,Georgia State Panthers,29.7,2022
38,Georgia Tech Yellow Jackets,17.2,2022
39,Hawai'i Rainbow Warriors,20.3,2022
40,Houston Cougars,36.7,2022
41,Illinois Fighting Illini,25.5,2022
42,Indiana Hoosiers,23.4,2022
43,Iowa Hawkeyes,17.3,2022
44,Iowa State Cyclones,20.4,2022
45,Kansas Jayhawks,33.1,2022
46,Kansas State Wildcats,32.6,2022
47,Kent State Golden Flashes,28.7,2022
48,Kentucky Wildcats,22.6,2022
49,LSU Tigers,32.2,2022
50,Liberty Flames,28.2,2022
51,Louisiana Monroe Warhawks,22.6,2022
52,Louisiana Ragin' Cajuns,27.6,2022
53,Louisiana Tech Bulldogs,28.9,2022
54,Louisville Cardinals,27.5,2022
55,Marshall Thundering Herd,24.0,2022
56,Maryland Terrapins,29.2,2022
57,Memphis Tigers,34.5,2022
58,Miami (OH) RedHawks,20.8,2022
59,Miami Hurricanes,23.7,2022
60,Michigan State Spartans,24.8,2022
61,Michigan Wolverines,39.3,2022
62,Middle Tennessee Blue Raiders,29.1,2022
63,Minnesota Golden Gophers,28.2,2022
64,Mississippi State Bulldogs,32.3,2022
65,Missouri Tigers,25.6,2022
66,NC State Wolfpack,25.4,2022
67,Navy Midshipmen,21.5,2022
68,Nebraska Cornhuskers,22.8,2022
69,Nevada Wolf Pack,19.8,2022
70,New Mexico Lobos,15.6,2022
71,New Mexico State Aggies,26.5,2022
72,North Carolina Tar Heels,34.1,2022
73,North Texas Mean Green,33.1,2022
74,Northern Illinois Huskies,27.6,2022
75,Northwestern Wildcats,16.3,2022
76,Notre Dame Fighting Irish,30.3,2022
77,Ohio Bobcats,31.6,2022
78,Ohio State Buckeyes,44.2,2022
79,Oklahoma Sooners,32.3,2022
80,Oklahoma State Cowboys,31.4,2022
81,Old Dominion Monarchs,20.1,2022
82,Ole Miss Rebels,33.4,2022
83,Oregon Ducks,38.6,2022
84,Oregon State Beavers,31.9,2022
85,Penn State Nittany Lions,35.2,2022
86,Pittsburgh Panthers,30.9,2022
87,Purdue Boilermakers,28.0,2022
88,Rice Owls,25.3,2022
89,Rutgers Scarlet Knights,17.7,2022
90,SMU Mustangs,36.9,2022
91,San Diego State Aztecs,21.4,2022
92,San José State Spartans,27.8,2022
93,South Alabama Jaguars,31.6,2022
94,South Carolina Gamecocks,31.3,2022
95,South Florida Bulls,27.9,2022
96,Southern Mississippi Golden Eagles,25.4,2022
97,Stanford Cardinal,20.9,2022
98,Syracuse Orange,28.4,2022
99,TCU Horned Frogs,39.6,2022
100,Temple Owls,22.4,2022
101,Tennessee Volunteers,45.7,2022
102,Texas A&M Aggies,22.8,2022
103,Texas Longhorns,35.2,2022
104,Texas State Bobcats,20.8,2022
105,Texas Tech Red Raiders,32.8,2022
106,Toledo Rockets,31.8,2022
107,Troy Trojans,26.3,2022
108,Tulane Green Wave,34.6,2022
109,Tulsa Golden Hurricane,30.3,2022
110,UAB Blazers,29.8,2022
111,UCF Knights,33.4,2022
112,UCLA Bruins,38.4,2022
113,UMass Minutemen,12.2,2022
114,UNLV Rebels,27.4,2022
115,USC Trojans,41.4,2022
116,UT San Antonio Roadrunners,35.8,2022
117,UTEP Miners,24.1,2022
118,Utah State Aggies,23.2,2022
119,Utah Utes,39.1,2022
120,Vanderbilt Commodores,24.9,2022
121,Virginia Cavaliers,16.6,2022
122,Virginia Tech Hokies,20.0,2022
123,Wake Forest Demon Deacons,35.9,2022
124,Washington Huskies,41.0,2022
125,Washington State Cougars,26.5,2022
126,West Virginia Mountaineers,30.8,2022
127,Western Kentucky Hilltoppers,35.3,2022
128,Western Michigan Broncos,19.8,2022
129,Wisconsin Badgers,27.5,2022
130,Wyoming Cowboys,20.9,2022
