firstName|lastName|positionType|origin|destination
Izaiah|Kelley|Defense|SMU|Abilene Christian
Robert|Ferrel|Offense|Incarnate Word|Washington State
Bucky|Williams|Offense|Appalachian State|Appalachian State
Sean|Ryan|Offense|West Virginia|Rutgers
Javian|Hester|Offense|Missouri|Oklahoma
Trent|Davis|Offense|Duke|
Kingsley|Suamataia|Offense|Oregon|BYU
Chase|Kline|Defense|Michigan State|Eastern Michigan
Lloyd|Summerall|Defense|Florida|Florida
Nicholas|Edwards|Offense|Tennessee|UT Martin
Reid|Pulliam|Defense|Virginia Tech|Holmes C.C.
Koby|Gross|Offense|Florida State|
Aric|Horne|Defense|Iowa State|Florida A&M
Damarius|Good|Offense|UCF|
JaKorey|Hawkins|Defense|Ole Miss|Wyoming
Chauncey|Moore|Defense|Temple|Alabama State
Ahman|Ross|Defense|Florida Atlantic|
Davis|Beville|Offense|Pittsburgh|Oklahoma
Tyrone|Brown|Defense|Baylor|
Carlin|Fils-aime|Offense|Tennessee|
AJ|Watts|Defense|Akron|
Tyler|Page|Offense|SMU|Appalachian State
Micah|Mariteragi|Offense|Virginia|
Corey|Rucker|Offense|Arkansas State|South Carolina
Darrius|Smith|Offense|Arizona|
Ke'Andre|Street|Offense|Houston|
Jared|Wilson|Offense|South Alabama|
Dennis|Osagiede|Defense|Stephen F. Austin|Liberty
Jordon|Riley|Defense|Nebraska|Oregon
Grant|Gunnell|Offense|Memphis|North Texas
Shai|Kochav|LS|Arkansas State|Louisville
Kyren|Lacy|Offense|Louisiana|LSU
Kyle|Dobbins|Offense|Temple|Western Illinois
Demetrius|Cannon|Offense|Louisville|
Darrian|Felix|Offense|South Florida|
Ethan|Rinke|Defense|South Alabama|
Justin|Isler|Defense|Appalachian State|
Edward|Bautista|Defense|North Texas|
Clyde|Pinder Jr.|Defense|North Carolina|South Florida
Justin|Harris|Defense|Georgia Southern|
Nasir|Clerk|Defense|East Carolina|
Wesley|McCormick|Defense|James Madison|West Virginia
Lonnie|Phelps|Defense|Miami (OH)|Kansas
RJ|Adams|Offense|Kentucky|Georgia Tech
Quavaris|Crouch|Defense|Michigan State|
Carson|Lee|Offense|Colorado|
Kyler|Baugh|Defense|Houston Christian|Minnesota
Donte|Small|Defense|Appalachian State|
J'Vian|McCray|Defense|East Carolina|Austin Peay
Hayden|Hagler|Offense|Marshall|
Logan|Sagapolu|Offense|Oregon|Miami
James|Thomas|Defense|West Virginia|
Zeb|Noland|Offense|North Dakota State|South Carolina
Taron|Madison|Offense|Oregon State|
Deonte|Sheffield|Offense|Florida State|West Florida
Jeremiah|Payton|Offense|Miami|
Loyal|Crawford|Offense|Wisconsin|
Tenyeh|Dixon|Defense|Virginia|Elizabeth City State
Jason|Whittaker|Offense|Northwestern|
Joe|Sparacio|Defense|Boston College|Eastern Michigan
Willie|Reid|Defense|Central Michigan|
Cameron|Williams|Defense|Miami|
Pedro|Timoteo|Offense|Fresno State|Portland State
Parker|Rickert|Offense|Iowa State|
Kani|Walker|Defense|Louisville|Oklahoma
Christian|Malloy|Offense|Coastal Carolina|
Greg|Grate Jr|ATH|Middle Tennessee|
Kyjuan|Herndon|ATH|Colorado State|Colorado State
Jack|Zergiotis|Offense|Connecticut|Merrimack
Ethan|Bullock|Offense|Oklahoma State|
Daran|Branch|Defense|Georgia|
Jaylon|Robinson|Offense|UCF|Ole Miss
Ja'Varrius|Johnson|Offense|Auburn|Auburn
DeAmonte|King|ATH|Toledo|
Brandon|Campbell|Offense|USC|Houston
Liridon|Mujezinovic|Offense|Maryland|
Vidal|Scott|Defense|Arkansas State|
Cole|Spencer|Offense|Western Kentucky|Texas Tech
Eric|Gentry|Defense|Arizona State|USC
TQ|Jackson|Defense|SMU|
Clay|Millen|Offense|Nevada|Colorado State
Josh|Hardeman|Defense|Marshall|
Myles|Tapusoa|Defense|Arizona|
Cameron|Williams|Defense|Indiana|
Drake|Cheatum|Defense|Prairie View|Kansas State
Demond|Demas|Offense|Texas A&M|
Reese|Poffenbarger|Offense|Old Dominion|
Charlie|Stone|Offense|Rice|
Eddie|Watkins|Defense|West Virginia|
Jahaziel|Lee|Offense|Utah State|
Dink|Jackson|Defense|Ole Miss|
Jackie|Matthews|Defense|West Virginia|Mississippi State
Latavious|Brini|Defense|Georgia|Arkansas
Cody|Jackson|Offense|Oklahoma|Houston
Jaylen|Lane|Defense|UNLV|
Clinton|Anokwuru|Defense|Louisiana|
Latrell|Neville|Offense|Nebraska|North Texas
Darrell|Simpson|Offense|Oklahoma|Tulsa
Deondre|Dansby|Defense|Houston|
Sampson|James|Offense|Purdue|
Xavier|Smith|Offense|Eastern Michigan|
Chalon|Howard|Defense|Georgia Southern|
Bryce|Ramsey|Offense|Ole Miss|Southern Mississippi
Will|Pliska|Offense|Washington|
Jack|Stewart|Defense|Michigan|
Jalen|Johnson|Offense|Arizona|
Blake|DeBisschop|Offense|California|
Ollie|Finch|Offense|Troy|
Parks|Gissinger|Offense|Michigan State|
Bryce|Sheppert|Defense|Notre Dame College|
Will|Nixon|Offense|Nebraska|Washington
Antoine|Booth|Defense|Michigan State|
Quinton|Torbor|Offense|Mississippi State|Alabama State
Anthony|Torres|Offense|Western Michigan|Toledo
Theodore|Knox|Offense|Mississippi State|SMU
Andy|Buttrell|Offense|Indiana|
Keon|Voisin|Defense|South Alabama|
Jackson|Bailey|Defense|Arizona|Louisiana Monroe
Devon|Dickerson|Defense|Maryland|
Julian|Nixon|Offense|Tennessee|
Answer|Gaye|Defense|Iowa State|
James|Phillips|Offense|Western Michigan|
Bryce|Goodner|Offense|Virginia Tech|Chattanooga
Jared|Morrow|Offense|Coastal Carolina|
Will|Bowers|DUAL|Liberty|
Troy|Henderson|Offense|Liberty|
Ivan|Shultz|Offense|Troy|
Seth|Smith|Offense|Marshall|
Tre'von|Marshall|Defense|Mississippi State|
Brady|Feeney|Offense|Indiana|Colgate
James|McNorton|Offense|Washington State|San José State
Melquan|Stovall|Offense|Nevada|Colorado State
MJ|Anderson|Defense|Minnesota|Iowa State
Marcus|Washington|Offense|Texas|Nebraska
Kamo'i|Latu|Defense|Utah|Wisconsin
Steven|Krajewski|Offense|Connecticut|Georgia State
Joshua|Rawlings|Offense|Virginia|
JT|Daniels|Offense|Georgia|West Virginia
Kody|Case|Offense|South Dakota|Illinois
Jay|Shaw|Defense|UCLA|Wisconsin
Cam|Sullivan-Brown|Offense|Penn State|UMass
Derrick|Miller|Defense|Iowa State|
Kamryn|Farrar|Defense|Oklahoma State|SMU
Alston|Orji|Defense|Vanderbilt|Campbell
Kody|Sparks|Offense|Bowling Green|
Ja'Maurion|Franklin|Defense|East Carolina|
Mike|Smith|Defense|Appalachian State|
Stephon|Wynn|Defense|Alabama|Nebraska
Christian|Galvan|Offense|Drake|Drake
Chris|Cassidy|Offense|North Texas|
Luke|Knox|Defense|Ole Miss|Florida International
Katravis|Marsh|Offense|South Florida|South Florida
Kalvin|Hutchings|Defense|North Texas|
Chaton|Mobley|Offense|Middle Tennessee|
Jordan|Wilmore|Offense|Fresno State|
Monterio|Hunt|Offense|Rutgers|Alcorn State
Brian|Maurer|Offense|Tennessee|Stephen F. Austin
Jonathan|Haynes|Defense|Ole Miss|
James|Ash|Defense|Wake Forest|South Florida
Khamal|Ellison|Defense|Florida|
Moezies|Telfort|Defense|Florida A&M|
Malik|Hornsby|Offense|Arkansas|
Dylan|Robinson|Offense|Houston|Trinity Valley C.C.
Trent|Holler|Offense|East Carolina|Marshall
Tommy|DeVito|Offense|Syracuse|Illinois
Jermayne|Lole|Defense|Arizona State|Louisville
