ID,school
9,Army
22,Clemson
32,Florida International
51,Louisiana
52,Louisiana Monroe
59,Miami
67,Navy
68,NC State
79,Ohio State
83,Ole Miss
84,Oregon
92,San José State
114,UMass
120,UT San Antonio
